20000725 00:00,956300,967300,938100,962500,19678200
20000726 00:00,955000,961300,932500,953100,20265800
20000727 00:00,939400,950600,916300,919800,25065100
20000728 00:00,921900,928800,860000,867500,36466800
20000731 00:00,876300,901300,857200,901300,28653800
20000801 00:00,898100,998300,874800,879800,15374700
20000802 00:00,878800,903900,868800,870900,22761400
20000803 00:00,842500,905000,793100,905000,35322400
20000804 00:00,920000,927700,891300,902500,21894100
20000807 00:00,908800,930300,902500,927000,14571900
20000808 00:00,920600,934400,915000,920600,14047000
20000809 00:00,936900,944400,920000,924700,17560500
20000810 00:00,918100,922300,896900,897500,15177500
20000811 00:00,892500,911100,878800,909400,20686000
20000814 00:00,913800,929700,902000,928800,11959600
20000815 00:00,927500,939800,920000,929800,13981800
20000816 00:00,934400,946900,920000,928900,15201600
20000817 00:00,929400,958800,928800,955600,14138600
20000818 00:00,959400,966300,946900,949400,14175900
20000821 00:00,960000,968600,943800,955200,13089000
20000822 00:00,960000,973600,954400,955000,14501500
20000823 00:00,946900,974400,938100,972200,21260400
20000824 00:00,974400,986900,960600,985900,13294500
20000825 00:00,984800,999500,968800,981300,11603100
20000828 00:00,982500,998400,979400,986900,12159300
20000829 00:00,986300,995500,978400,986400,11256200
20000830 00:00,983100,995000,977700,991700,9802300
20000831 00:00,996300,1018100,988800,1017000,15360900
20000901 00:00,1030000,1039700,1011900,1023100,13990200
20000905 00:00,1016300,1035600,994200,996100,16152400
20000906 00:00,992500,994800,957500,958800,21246800
20000907 00:00,968100,994200,965600,986300,16257200
20000908 00:00,977700,980000,926300,953100,23168400
20000911 00:00,945000,977500,920000,926300,26901000
20000912 00:00,935000,946900,908400,915900,33512800
20000913 00:00,902500,937500,850000,933100,33216900
20000914 00:00,952500,962500,926400,932300,27741100
20000915 00:00,931300,936300,906900,915800,23981000
20000918 00:00,918100,942500,880000,895000,28672900
20000919 00:00,907500,966300,898800,935600,27215200
20000920 00:00,933800,972500,913100,945000,32819400
20000921 00:00,937500,949700,920600,926300,23885500
20000922 00:00,876300,977500,875000,922000,33321300
20000925 00:00,936300,942500,900600,905000,19947900
20000926 00:00,907700,927500,889800,893800,25171000
20000927 00:00,906300,911900,880000,891300,28443400
20000928 00:00,887200,930000,887200,928100,28626400
20000929 00:00,920000,921300,888800,891300,26376000
20001002 00:00,902500,902500,860000,863000,24413800
20001003 00:00,880600,888100,835000,836300,35169700
20001004 00:00,835000,868600,821300,860000,37322200
20001005 00:00,852500,871900,845600,855000,23416600
20001006 00:00,855600,865600,811300,827300,35636600
20001009 00:00,825600,838100,793800,828100,28668200
20001010 00:00,818100,833100,791300,795000,33051500
20001011 00:00,768800,804500,731900,774800,48166600
20001012 00:00,792500,795600,744100,748800,51753500
20001013 00:00,746900,815000,746300,814400,40653500
20001016 00:00,811300,823100,797500,810000,27298100
20001017 00:00,831300,831700,780000,793100,50132700
20001018 00:00,767500,811900,745600,784200,64129700
20001019 00:00,823900,850000,814400,848300,46974100
20001020 00:00,845000,878800,843900,860600,40117600
20001023 00:00,861900,875000,841300,855000,28581000
20001024 00:00,864400,870000,828900,838100,27862200
20001025 00:00,812500,820000,768900,776900,47678700
20001026 00:00,781900,800000,736300,790600,67672500
20001027 00:00,808600,818600,774800,791300,50978000
20001030 00:00,781900,798800,757000,770500,36014700
20001031 00:00,780000,825600,778800,819400,44479100
20001101 00:00,803100,828100,791900,806300,46031900
20001102 00:00,821900,832500,810600,823900,26099400
